iter	Passed	Remaining
0	199	99344
1	227	56636
2	240	39918
3	251	31235
4	262	25994
5	273	22553
6	283	19992
7	294	18133
8	305	16667
9	316	15513
10	327	14572
11	338	13781
12	349	13082
13	361	12558
14	372	12034
15	383	11593
16	393	11187
17	404	10828
18	415	10520
19	426	10227
20	435	9940
21	445	9676
22	454	9435
23	464	9211
24	474	9017
25	484	8826
26	494	8655
27	502	8478
28	512	8319
29	522	8188
30	533	8066
31	544	7970
32	554	7851
33	563	7729
34	573	7625
35	583	7520
36	593	7421
37	602	7328
38	612	7241
39	622	7160
40	631	7073
41	641	6998
42	652	6938
43	662	6866
44	672	6803
45	682	6737
46	692	6669
47	701	6608
48	710	6541
49	720	6481
50	729	6420
51	738	6365
52	749	6320
53	760	6279
54	770	6235
55	781	6194
56	790	6145
57	800	6101
58	811	6062
59	820	6019
60	840	6050
61	852	6019
62	861	5976
63	870	5932
64	881	5897
65	890	5855
66	900	5817
67	909	5776
68	919	5743
69	928	5704
70	938	5670
71	948	5636
72	958	5605
73	967	5571
74	977	5537
75	987	5507
76	996	5472
77	1006	5445
78	1017	5424
79	1029	5402
80	1039	5376
81	1049	5351
82	1060	5327
83	1071	5304
84	1081	5279
85	1091	5256
86	1103	5237
87	1114	5218
88	1127	5206
89	1139	5189
90	1151	5174
91	1163	5160
92	1175	5146
93	1188	5133
94	1202	5125
95	1213	5106
96	1225	5092
97	1238	5080
98	1250	5063
99	1263	5054
100	1277	5045
101	1290	5034
102	1302	5021
103	1314	5006
104	1325	4985
105	1335	4965
106	1345	4943
107	1356	4924
108	1367	4903
109	1385	4912
110	1396	4892
111	1405	4869
112	1415	4847
113	1425	4827
114	1435	4806
115	1445	4784
116	1455	4765
117	1466	4746
118	1476	4728
119	1487	4709
120	1497	4690
121	1506	4668
122	1516	4649
123	1526	4630
124	1536	4609
125	1547	4592
126	1556	4570
127	1566	4553
128	1575	4531
129	1586	4514
130	1596	4497
131	1607	4480
132	1617	4463
133	1628	4448
134	1639	4431
135	1649	4416
136	1690	4478
137	1700	4461
138	1711	4445
139	1721	4427
140	1732	4410
141	1742	4392
142	1753	4378
143	1764	4362
144	1774	4343
145	1785	4328
146	1794	4309
147	1805	4293
148	1815	4275
149	1825	4258
150	1835	4241
151	1844	4223
152	1854	4206
153	1864	4189
154	1875	4174
155	1885	4157
156	1895	4141
157	1905	4123
158	1915	4108
159	1925	4091
160	1935	4075
161	1946	4060
162	1955	4043
163	1965	4027
164	1975	4009
165	1984	3992
166	1995	3979
167	2006	3964
168	2015	3947
169	2025	3931
170	2035	3915
171	2044	3899
172	2053	3882
173	2063	3865
174	2073	3849
175	2082	3834
176	2092	3818
177	2102	3803
178	2112	3787
179	2121	3771
180	2131	3756
181	2141	3741
182	2151	3726
183	2161	3711
184	2170	3696
185	2181	3682
186	2191	3667
187	2200	3652
188	2210	3637
189	2220	3622
190	2230	3608
191	2239	3593
192	2249	3577
193	2258	3562
194	2269	3549
195	2280	3537
196	2291	3524
197	2300	3509
198	2311	3496
199	2320	3481
200	2331	3467
201	2340	3452
202	2350	3438
203	2360	3424
204	2369	3409
205	2379	3395
206	2388	3381
207	2399	3368
208	2408	3354
209	2418	3339
210	2428	3325
211	2437	3311
212	2447	3298
213	2456	3283
214	2466	3269
215	2475	3255
216	2485	3241
217	2494	3227
218	2504	3213
219	2514	3199
220	2523	3185
221	2533	3172
222	2544	3160
223	2553	3146
224	2563	3133
225	2573	3120
226	2583	3106
227	2592	3092
228	2601	3079
229	2611	3066
230	2621	3052
231	2631	3039
232	2641	3026
233	2650	3013
234	2660	2999
235	2670	2986
236	2680	2974
237	2689	2960
238	2698	2947
239	2708	2934
240	2718	2921
241	2728	2908
242	2738	2896
243	2747	2882
244	2756	2869
245	2767	2857
246	2777	2844
247	2787	2832
248	2797	2819
249	2807	2807
250	2816	2794
251	2829	2784
252	2843	2775
253	2855	2765
254	2866	2753
255	2877	2742
256	2889	2731
257	2900	2720
258	2912	2710
259	2924	2699
260	2937	2689
261	2949	2679
262	2960	2668
263	2971	2655
264	2981	2643
265	2991	2631
266	3000	2618
267	3010	2606
268	3020	2593
269	3030	2581
270	3039	2568
271	3049	2556
272	3060	2544
273	3070	2532
274	3080	2520
275	3090	2508
276	3100	2495
277	3109	2482
278	3119	2470
279	3129	2458
280	3138	2446
281	3148	2433
282	3158	2421
283	3167	2408
284	3177	2397
285	3187	2384
286	3197	2372
287	3207	2360
288	3216	2348
289	3227	2337
290	3241	2328
291	3253	2317
292	3263	2305
293	3274	2294
294	3285	2282
295	3294	2270
296	3306	2259
297	3316	2248
298	3327	2236
299	3337	2224
300	3347	2212
301	3356	2200
302	3366	2188
303	3375	2176
304	3384	2164
305	3395	2152
306	3404	2140
307	3415	2129
308	3427	2118
309	3437	2106
310	3447	2095
311	3457	2083
312	3466	2071
313	3476	2059
314	3486	2047
315	3496	2035
316	3506	2024
317	3517	2013
318	3528	2002
319	3539	1991
320	3550	1979
321	3561	1968
322	3572	1957
323	3584	1947
324	3595	1935
325	3605	1924
326	3615	1912
327	3625	1901
328	3634	1889
329	3644	1877
330	3654	1865
331	3663	1854
332	3674	1842
333	3683	1830
334	3693	1819
335	3704	1808
336	3715	1797
337	3726	1785
338	3737	1775
339	3748	1764
340	3758	1752
341	3768	1740
342	3778	1729
343	3789	1718
344	3800	1707
345	3811	1696
346	3823	1685
347	3833	1674
348	3845	1663
349	3857	1653
350	3867	1641
351	3877	1630
352	3887	1619
353	3899	1608
354	3909	1596
355	3919	1585
356	3929	1573
357	3939	1562
358	3949	1551
359	3959	1539
360	3969	1528
361	3980	1517
362	3991	1506
363	4002	1495
364	4012	1483
365	4022	1472
366	4032	1461
367	4042	1450
368	4053	1439
369	4064	1427
370	4075	1417
371	4085	1405
372	4095	1394
373	4105	1383
374	4116	1372
375	4126	1360
376	4137	1349
377	4147	1338
378	4157	1327
379	4167	1316
380	4177	1304
381	4188	1293
382	4198	1282
383	4208	1271
384	4219	1260
385	4228	1248
386	4239	1237
387	4249	1226
388	4258	1215
389	4269	1204
390	4279	1193
391	4290	1181
392	4300	1170
393	4311	1159
394	4322	1148
395	4332	1137
396	4343	1126
397	4355	1116
398	4366	1105
399	4378	1094
400	4390	1083
401	4401	1073
402	4412	1061
403	4423	1051
404	4434	1040
405	4446	1029
406	4456	1018
407	4469	1007
408	4481	997
409	4492	986
410	4504	975
411	4514	964
412	4525	953
413	4536	942
414	4548	931
415	4559	920
416	4569	909
417	4580	898
418	4591	887
419	4602	876
420	4613	865
421	4625	854
422	4636	843
423	4647	833
424	4659	822
425	4670	811
426	4681	800
427	4692	789
428	4703	778
429	4714	767
430	4730	757
431	4741	746
432	4752	735
433	4763	724
434	4774	713
435	4786	702
436	4796	691
437	4807	680
438	4817	669
439	4828	658
440	4838	647
441	4850	636
442	4861	625
443	4872	614
444	4884	603
445	4894	592
446	4906	581
447	4916	570
448	4926	559
449	4937	548
450	4948	537
451	4959	526
452	4970	515
453	4981	504
454	4992	493
455	5002	482
456	5013	471
457	5029	461
458	5040	450
459	5051	439
460	5062	428
461	5074	417
462	5085	406
463	5095	395
464	5106	384
465	5117	373
466	5128	362
467	5139	351
468	5151	340
469	5163	329
470	5174	318
471	5186	307
472	5196	296
473	5207	285
474	5218	274
475	5229	263
476	5240	252
477	5250	241
478	5260	230
479	5271	219
480	5281	208
481	5292	197
482	5301	186
483	5312	175
484	5322	164
485	5334	153
486	5345	142
487	5356	131
488	5368	120
489	5380	109
490	5391	98
491	5402	87
492	5413	76
493	5425	65
494	5435	54
495	5445	43
496	5457	32
497	5469	21
498	5479	10
499	5491	0
